n,heapsort.ticks
150000,8058782
180000,9816875
210000,11596775
240000,13383308
270000,15184289
300000,17019342
330000,18865833
360000,20719205
390000,22583941
420000,24451326
450000,26327830
480000,28210062
510000,30088015
540000,31983685
570000,33908198
600000,35837433
630000,37774690
660000,39706189
690000,41656508
720000,43607910
750000,45558953
780000,47510560
810000,49455106
840000,51428350
870000,53380959
900000,55355891
930000,57316702
960000,59287566
990000,61261817
1020000,63221055
1050000,65196073
1080000,67210256
1110000,69220439
1140000,71228542
1170000,73256073
1200000,75274046
1230000,77299795
1260000,79333731
1290000,81346468
1320000,83392441
1350000,85427525
1380000,87452429
1410000,89484114
1440000,91526876
1470000,93559953
