n,heapsort.time
150000,124
180000,171
210000,223
240000,278
270000,325
300000,381
330000,443
360000,501
390000,557
420000,612
450000,676
480000,734
510000,794
540000,906
570000,949
600000,994
630000,1063
660000,1126
690000,1197
720000,1245
750000,1312
780000,1414
810000,1473
840000,1536
870000,1606
900000,1671
930000,1746
960000,1806
990000,1893
1020000,1967
1050000,2051
1080000,2114
1110000,2200
1140000,2256
1170000,2342
1200000,2422
1230000,2513
1260000,2566
1290000,2663
1320000,2723
1350000,2788
1380000,2873
1410000,2943
1440000,3124
1470000,3157
